sta_id,rec_id,dep_dt,ret_dt,sta_lat,sta_lon,
BUIS_02,VR2W-114119,9/3/2011 0:00,11/26/2011 0:00,17.79901,-64.63578,
BUIS_04,VR2W-112634,9/3/2011 0:00,11/26/2011 0:00,17.78382,-64.63187,
BUIS_07,VR2W-114124,9/3/2011 0:00,11/26/2011 0:00,17.80190,-64.62100,
BUIS_12,VR2W-114122,9/3/2011 0:00,11/26/2011 0:00,17.79200,-64.61590,
BUIS_326,VR2W-114121,9/3/2011 0:00,11/26/2011 0:00,17.78120,-64.59960,
BUIS_445,VR2W-114120,9/3/2011 0:00,11/26/2011 0:00,17.79410,-64.59440,
BUIS_01,VR2W-114121,3/29/2012 0:00,7/11/2012 15:05,17.78976,-64.64280,
BUIS_02,VR2W-114119,3/29/2012 0:00,7/11/2012 12:02,17.79901,-64.63578,
BUIS_03,VR2W-114123,3/29/2012 0:00,7/11/2012 12:11,17.79241,-64.63223,
BUIS_04,VR2W-112634,3/29/2012 0:00,7/11/2012 14:50,17.78382,-64.63187,
BUIS_05,VR2W-114118,3/29/2012 0:00,7/11/2012 10:26,17.77669,-64.62184,
BUIS_06,VR2W-119925,4/6/2012 10:00,7/11/2012 12:23,17.79064,-64.62226,
BUIS_07,VR2W-114124,3/29/2012 0:00,7/11/2012 15:25,17.80190,-64.62100,
BUIS_08,VR2W-115500,3/22/2012 9:21,7/11/2012 14:37,17.78226,-64.61987,
BUIS_09,VR2W-115498,3/22/2012 13:00,7/11/2012 13:57,17.78395,-64.61938,
BUIS_10,VR2W-115501,3/22/2012 10:00,7/11/2012 14:28,17.78246,-64.61790,
BUIS_11,VR2W-115499,3/22/2012 13:30,7/11/2012 13:50,17.78422,-64.61740,
BUIS_12,VR2W-114122,3/29/2012 0:00,7/11/2012 11:45,17.79200,-64.61590,
BUIS_13,VR2W-115502,3/22/2012 11:30,7/11/2012 14:18,17.78352,-64.61468,
BUIS_14,VR2W-115503,3/22/2012 12:00,7/11/2012 14:10,17.78485,-64.61161,
BUIS_15,VR2W-114120,3/29/2012 0:00,7/11/2012 13:45,17.78778,-64.60996,
BUIS_16,VR2W-115504,3/29/2012 0:00,7/11/2012 10:54,17.77853,-64.60758,
BUIS_17,VR2W-114125,3/29/2012 0:00,7/14/2012 12:45,17.79400,-64.60480,
BUIS_01,VR2W-114121,7/13/2012 11:49,10/16/2012 11:45,17.78976,-64.64280,
